Period Type,Period,Release Count
yearly,2021,4
yearly,2022,19
yearly,2023,28
yearly,2024,1
yearly,2025,275
monthly,2021-10,4
monthly,2022-03,1
monthly,2022-10,1
monthly,2022-11,12
monthly,2022-12,5
monthly,2023-01,2
monthly,2023-02,16
monthly,2023-03,2
monthly,2023-04,4
monthly,2023-05,1
monthly,2023-07,3
monthly,2024-01,1
monthly,2025-02,56
monthly,2025-03,46
monthly,2025-04,80
monthly,2025-05,83
monthly,2025-06,10
weekly,2021-W41,4
weekly,2022-W10,1
weekly,2022-W40,1
weekly,2022-W46,2
weekly,2022-W47,8
weekly,2022-W48,2
weekly,2022-W49,5
weekly,2023-W03,2
weekly,2023-W06,6
weekly,2023-W07,5
weekly,2023-W08,5
weekly,2023-W10,2
weekly,2023-W15,1
weekly,2023-W16,2
weekly,2023-W17,1
weekly,2023-W21,1
weekly,2023-W27,1
weekly,2023-W29,1
weekly,2023-W31,1
weekly,2024-W05,1
weekly,2025-W08,25
weekly,2025-W09,31
weekly,2025-W10,14
weekly,2025-W11,23
weekly,2025-W12,8
weekly,2025-W13,1
weekly,2025-W15,1
weekly,2025-W16,18
weekly,2025-W17,30
weekly,2025-W18,39
weekly,2025-W19,9
weekly,2025-W21,13
weekly,2025-W22,53
weekly,2025-W23,10
daily,2021-10-15,4
daily,2022-03-10,1
daily,2022-10-07,1
daily,2022-11-18,2
daily,2022-11-24,4
daily,2022-11-25,4
daily,2022-11-29,2
daily,2022-12-08,3
daily,2022-12-09,2
daily,2023-01-18,2
daily,2023-02-09,6
daily,2023-02-13,2
daily,2023-02-14,1
daily,2023-02-17,2
daily,2023-02-20,3
daily,2023-02-21,1
daily,2023-02-23,1
daily,2023-03-09,1
daily,2023-03-10,1
daily,2023-04-14,1
daily,2023-04-19,2
daily,2023-04-25,1
daily,2023-05-23,1
daily,2023-07-05,1
daily,2023-07-17,1
daily,2023-07-31,1
daily,2024-01-29,1
daily,2025-02-19,17
daily,2025-02-20,8
daily,2025-02-25,31
daily,2025-03-04,8
daily,2025-03-05,6
daily,2025-03-10,7
daily,2025-03-14,16
daily,2025-03-18,8
daily,2025-03-25,1
daily,2025-04-07,1
daily,2025-04-17,9
daily,2025-04-18,9
daily,2025-04-22,18
daily,2025-04-23,10
daily,2025-04-24,2
daily,2025-04-28,29
daily,2025-04-29,2
daily,2025-05-02,8
daily,2025-05-08,9
daily,2025-05-19,9
daily,2025-05-21,4
daily,2025-05-29,31
daily,2025-05-30,22
daily,2025-06-02,10
