Period Type,Period,Release Count
yearly,2021,4
yearly,2022,19
yearly,2023,44
yearly,2024,122
yearly,2025,295
monthly,2021-10,4
monthly,2022-03,1
monthly,2022-10,1
monthly,2022-11,12
monthly,2022-12,5
monthly,2023-01,2
monthly,2023-02,16
monthly,2023-03,2
monthly,2023-04,4
monthly,2023-05,1
monthly,2023-07,3
monthly,2023-12,16
monthly,2024-01,18
monthly,2024-02,10
monthly,2024-05,4
monthly,2024-07,44
monthly,2024-08,23
monthly,2024-09,16
monthly,2024-10,1
monthly,2024-11,2
monthly,2024-12,4
monthly,2025-01,5
monthly,2025-02,60
monthly,2025-03,50
monthly,2025-04,82
monthly,2025-05,88
monthly,2025-06,10
weekly,2021-W41,4
weekly,2022-W10,1
weekly,2022-W40,1
weekly,2022-W46,2
weekly,2022-W47,8
weekly,2022-W48,2
weekly,2022-W49,5
weekly,2023-W03,2
weekly,2023-W06,6
weekly,2023-W07,5
weekly,2023-W08,5
weekly,2023-W10,2
weekly,2023-W15,1
weekly,2023-W16,2
weekly,2023-W17,1
weekly,2023-W21,1
weekly,2023-W27,1
weekly,2023-W29,1
weekly,2023-W31,1
weekly,2023-W48,1
weekly,2023-W51,15
weekly,2024-W03,2
weekly,2024-W04,2
weekly,2024-W05,14
weekly,2024-W07,10
weekly,2024-W21,3
weekly,2024-W22,1
weekly,2024-W28,2
weekly,2024-W30,30
weekly,2024-W31,14
weekly,2024-W32,5
weekly,2024-W33,15
weekly,2024-W34,1
weekly,2024-W36,10
weekly,2024-W37,1
weekly,2024-W39,5
weekly,2024-W43,1
weekly,2024-W45,1
weekly,2024-W47,1
weekly,2024-W51,4
weekly,2025-W04,5
weekly,2025-W07,3
weekly,2025-W08,25
weekly,2025-W09,32
weekly,2025-W10,14
weekly,2025-W11,25
weekly,2025-W12,8
weekly,2025-W13,3
weekly,2025-W15,3
weekly,2025-W16,18
weekly,2025-W17,30
weekly,2025-W18,39
weekly,2025-W19,9
weekly,2025-W20,3
weekly,2025-W21,13
weekly,2025-W22,55
weekly,2025-W23,10
daily,2021-10-15,4
daily,2022-03-10,1
daily,2022-10-07,1
daily,2022-11-18,2
daily,2022-11-24,4
daily,2022-11-25,4
daily,2022-11-29,2
daily,2022-12-08,3
daily,2022-12-09,2
daily,2023-01-18,2
daily,2023-02-09,6
daily,2023-02-13,2
daily,2023-02-14,1
daily,2023-02-17,2
daily,2023-02-20,3
daily,2023-02-21,1
daily,2023-02-23,1
daily,2023-03-09,1
daily,2023-03-10,1
daily,2023-04-14,1
daily,2023-04-19,2
daily,2023-04-25,1
daily,2023-05-23,1
daily,2023-07-05,1
daily,2023-07-17,1
daily,2023-07-31,1
daily,2023-12-01,1
daily,2023-12-22,15
daily,2024-01-16,2
daily,2024-01-22,1
daily,2024-01-23,1
daily,2024-01-29,1
daily,2024-01-30,13
daily,2024-02-13,10
daily,2024-05-22,2
daily,2024-05-24,1
daily,2024-05-28,1
daily,2024-07-09,2
daily,2024-07-22,14
daily,2024-07-23,1
daily,2024-07-24,1
daily,2024-07-25,14
daily,2024-07-31,12
daily,2024-08-02,2
daily,2024-08-08,5
daily,2024-08-14,15
daily,2024-08-21,1
daily,2024-09-03,10
daily,2024-09-11,1
daily,2024-09-26,5
daily,2024-10-23,1
daily,2024-11-08,1
daily,2024-11-19,1
daily,2024-12-18,4
daily,2025-01-22,5
daily,2025-02-14,3
daily,2025-02-19,17
daily,2025-02-20,8
daily,2025-02-24,1
daily,2025-02-25,31
daily,2025-03-04,8
daily,2025-03-05,6
daily,2025-03-10,7
daily,2025-03-14,18
daily,2025-03-18,8
daily,2025-03-25,1
daily,2025-03-27,2
daily,2025-04-07,1
daily,2025-04-09,2
daily,2025-04-17,9
daily,2025-04-18,9
daily,2025-04-22,18
daily,2025-04-23,10
daily,2025-04-24,2
daily,2025-04-28,29
daily,2025-04-29,2
daily,2025-05-02,8
daily,2025-05-08,9
daily,2025-05-12,1
daily,2025-05-15,2
daily,2025-05-19,9
daily,2025-05-21,4
daily,2025-05-29,33
daily,2025-05-30,22
daily,2025-06-02,10
